Position_1,Position_2,Position_3,Amplitude_1,Amplitude_2,Amplitude_3,Frame,Time,SisterPairID,SisterID,movieID
NaN,NaN,NaN,NaN,NaN,NaN,218,449.19,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,219,451.26,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,220,453.33,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,221,455.4,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,222,457.47,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,223,459.54,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,224,461.61,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,225,463.68,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,226,465.75,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,227,467.82,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,228,469.89,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,229,471.96,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,230,474.03,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,231,476.1,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,232,478.17,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,233,480.24,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,234,482.31,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,235,484.38,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,236,486.45,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,237,488.52,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,238,490.59,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,239,492.66,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,240,494.73,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,241,496.8,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,242,498.87,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,243,500.94,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,244,503.01,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,245,505.08,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,246,507.15,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,247,509.22,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,248,511.29,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,249,513.36,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,250,515.43,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,251,517.5,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,252,519.57,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,253,521.64,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,254,523.71,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,255,525.78,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,256,527.85,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,257,529.92,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,258,531.99,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,259,534.06,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,260,536.13,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,261,538.2,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,262,540.27,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,263,542.34,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,264,544.41,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,265,546.48,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,266,548.55,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,267,550.62,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,268,552.69,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,269,554.76,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,270,556.83,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,271,558.9,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,272,560.97,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,273,563.04,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,274,565.11,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,275,567.18,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,276,569.25,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,277,571.32,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,278,573.39,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,279,575.46,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,280,577.53,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,281,579.6,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,282,581.67,1,1,31
NaN,NaN,NaN,NaN,NaN,NaN,283,583.74,1,1,31
